Images may be subject to copyright.	Die Bilder sind eventuell urheberrechtlich geschützt.
Try more general keywords.	Probiere es mit allgemeineren Suchbegriffen.
Make sure all words are spelled correctly.	Achte darauf, dass alle Wörter richtig geschrieben sind.
Click for video information	Hier klicken, um Videoinformationen zu erhalten
Click for product information	Hier klicken, um Produktinformationen zu erhalten
Check website for latest pricing and availability.	Aktuelle Preise und Informationen zur Verfügbarkeit findest du auf der Website.
Tap and hold to copy link	Antippen und halten, um Link zu kopieren
Tap to copy link	Antippen, um Link zu kopieren
Looks like this collection is empty	Anscheinend ist diese Sammlung leer
Bring back cards you removed	Karten wieder anzeigen, die entfernt wurden
Stop seeing certain cards	Bestimmte Karten nicht mehr anzeigen
Anyone with the link can see this collection	Alle, die über den Link verfügen, können diese Sammlung sehen
Only you can see this collection	Nur ich kann diese Sammlung sehen
Tap a match to see player stats	Tippe auf ein Spiel, um die Spielerstatistiken zu sehen
Failed to change your settings. Try again later.	Deine Einstellungen konnten nicht geändert werden. Versuch es später noch einmal.
To get alerts, notifications should be turned on in both Google app and device settings.	Hierfür musst du einfach nur die Benachrichtigungen in der Google App und in den Geräteeinstellungen aktivieren.
Keep your Google Account secure: Get real-time security alerts directly on your device.	Mehr Sicherheit für dein Google-Konto: Bei potenziellen Problemen kannst du dir in Echtzeit Sicherheitswarnungen direkt auf dein Gerät senden lassen.
Unfollowing will remove this collection from your list of collections.	Wenn du dieser Sammlung nicht mehr folgst, wird sie auch aus deiner Sammlungsliste entfernt.
Full time · See stats, news, and more	Endstand · Statistiken, Nachrichten und vieles mehr ansehen
Send us your video content	Sende uns deine Video-Inhalte.
Harness the power of GIFs to reach an engaged audience of 350M+ people.	Nutze die Fähigkeiten von GIFs, um eine aktive Zielgruppe von über 350 Millionen Nutzern zu erreichen
Only you can see your personal results.	Nur Sie können Ihre persönlichen Ergebnisse sehen.
To include an app in search results, tap it again.	Um eine App in die Suche einzubeziehen, tippen Sie noch einmal darauf.
How your app info stays private	So bleiben Ihre App-Informationen privat
To remove an app from search results, tap it.	Um eine App aus der Suche zu entfernen, tippen Sie darauf.
When you search in apps on your phone, you can see:	Wenn Sie Inhalte in Apps auf Ihrem Smartphone suchen, sehen Sie Folgendes:
In the search box, type what you’re looking for.	Geben Sie einen Suchbegriff in das Suchfeld ein.
Tap the language you want to view the translation.	Falls ja, tippe auf die gewünschte Sprache.
This field is required.	Dies ist ein Pflichtfeld.
Sign in to save jobs	Melden Sie sich an, um Ihre Stellenanzeigen zu speichern
Only you and your parent can see this data. Google protects your privacy and security.	Nur du und deine Eltern können diese Daten sehen. Google schützt deine Daten und deine Privatsphäre.
Only you can see this data. Google protects your privacy and security.	Nur du kannst diese Daten sehen. Google schützt deine Daten und deine Privatsphäre.
Search business class flights	Nach Business Class-Flügen suchen
Send feedback to Google	Feedback an Google senden
Related to your search	Passend zu deiner Suche
Unable to share collection. Please check your popup blocker.	Sammlung kann nicht geteilt werden. Bitte prüfe die Einstellungen deines Pop-up-Blockers.
Sao Tome and Principe	São Tomé und Príncipe
Saint Kitts and Nevis	St. Kitts und Nevis
Saint Pierre and Miquelon	St. Pierre und Miquelon
Bonaire, Sint Eustatius, and Saba	Bonaire, Sint Eustatius und Saba
My SafeSearch setting keeps turning off	Meine SafeSearch-Einstellung wird immer wieder deaktiviert
If you allow cookies, SafeSearch should stay on.	Wenn Sie Cookies zulassen, sollte SafeSearch aktiviert bleiben.
Block explicit results on Google using SafeSearch	Anstößige Suchergebnisse auf Google mit SafeSearch blockieren
Find widgets on Google Play	Widgets bei Google Play suchen
Notices about Filtered Results	Hinweise zu gefilterten Ergebnissen
A label showing the percentage change in price.	Ein Label mit der prozentualen Änderung des Preises
This reminder has been deleted. Please refresh the browser to view the updated list.	Diese Erinnerung wurde gelöscht. Bitte aktualisiere den Browser, um die aktualisierte Liste zu sehen.
From your Gmail reservation	Aus einer Reservierung in deinem Gmail-Konto
You can delete all of this data or change this setting.	Du kannst alle diese Daten löschen oder diese Einstellung ändern.
Select one from the following list of service providers	Wähle einfach einen Lieferservice aus der Liste aus
Google Search Page Header	Titel der Google-Suchseite
Search for a company or symbol	Nach einem Unternehmen oder Symbol suchen
Keep track of your watchlist and watch how it performs	Watchlist im Blick behalten und Entwicklung beobachten
Unable to share collection	Sammlung kann nicht geteilt werden
Stories must be a least four pages	Geschichten müssen mindestens vier Seiten lang sein
Final · See stats, news, and more	Endstand · Statistiken, Nachrichten und vieles mehr ansehen
Get it on Google Play	Bei Google Play herunterladen
Data shared for research	Zu Forschungszwecken geteilte Daten
See and delete your preferences about News.	Hier kannst du deine News-Einstellungen ansehen und löschen.
Manage music you’ve identified with the Sound Search widget.	Hier kannst du Musik verwalten, die du mithilfe des Musiksuche-Widgets gefunden hast.
View YouTube Community posts	Beiträge der YouTube-Community ansehen
Manage Google Play Sound Search History	Musiksuche-Verlauf für Google Play verwalten
Google Play Sound Search History	Musiksuche-Verlauf von Google Play
Comments on YouTube Community posts	Kommentare zu Beiträgen in der YouTube-Community
Comments on YouTube videos	Kommentare zu YouTube-Videos
See and delete your answers to survey questions from Google.	Hier kannst du dir deine Antworten bei Umfragen von Google ansehen und diese löschen.
Teams and leagues you follow	Teams und Ligen, denen du folgst
A performance comparison of financial entities, composed of table and chart.	Leistungsvergleich von Finanzinstitutionen, bestehend aus Tabelle und Diagramm.
A table showing the prices at the selected time point in the chart.	Tabelle mit den Preisen zum ausgewählten Zeitpunkt im Diagramm.
Your answers will improve Search for other people. Learn more.	Deine Antworten machen die Suche für andere noch nützlicher. Weitere Informationen.
You suggested this change. Edit?	Du hast diese Änderung vorgeschlagen. Möchtest du sie bearbeiten?
Improve the language on this page	Sprache auf dieser Seite verbessern
Manage your Google Tag Manager container versions	Google Tag Manager-Containerversionen verwalten
View monetary and non-monetary YouTube Analytics reports for your YouTube content	Monetäre und nicht monetäre YouTube Analytics-Berichte für YouTube-Inhalte abrufen
View YouTube Analytics reports for your YouTube content	YouTube Analytics-Berichte für deinen YouTube-Content abrufen
View your Google Tag Manager container and its subcomponents	Google Tag Manager-Container und die entsprechenden Unterkomponenten abrufen
Manage user permissions of your Google Tag Manager account and container	Nutzerberechtigungen für Google Tag Manager-Konten und -Container verwalten
Publish your Google Tag Manager container versions	Google Tag Manager-Containerversionen veröffentlichen
View and manage creatives and campaigns for DoubleClick Studio	Creatives und Kampagnen für DoubleClick Studio abrufen und verwalten
Delete your Google Tag Manager containers	Google Tag Manager-Container löschen
View creatives and campaigns for DoubleClick Studio	Creatives und Kampagnen für DoubleClick Studio abrufen
View and manage your Google Tag Manager accounts	Google Tag Manager-Konten abrufen und verwalten
Tap a match to see scores, stats, and more	Tippe auf ein Spiel, um Punkte, Statistiken und vieles mehr zu sehen
Type a name, phone, or email	Name, Telefonnummer oder E-Mail-Adresse eingeben
This site may be hacked.	Diese Website wurde möglicherweise gehackt.
Update your featured image on Search	In der Google-Suche angezeigtes Bild aktualisieren
Saved items will be added to this collection	Gespeicherte Bilder werden dieser Sammlung hinzugefügt
Open in Google Podcasts	In Google Podcasts öffnen
Your Site on Google	Deine Website bei Google
Your activity, while you were signed in to Google.	Deinen Aktivitäten, während du bei Google angemeldet warst
Add a Finance shortcut to your Home screen	Dem Startbildschirm Verknüpfung zu Google Finanzen hinzufügen
How your saved activity is used	So werden Ihre gespeicherten Aktivitätsdaten verwendet
To let Google save this information:	So kann Google diese Informationen speichern:
Your Chrome browsing history	Ihren Browserverlauf in Chrome
Information on your device like recent apps or contact names you searched for	Gerätedaten wie zuletzt verwendete Apps oder von Ihnen gesuchte Namen von Kontakten
See or delete your search activity	Suchaktivitäten einsehen oder löschen
*Not all languages are supported.	* Nicht alle Sprachen werden unterstützt.
Therefore, these pages are no longer accessible from Google search.	Daher sind diese Seiten nicht mehr über die Google-Suche verfügbar.
Watch the most memorable moments of the tournament	Hier kannst du dir die unvergesslichsten Momente des Turniers ansehen
Add a missing place to Google Maps.	Füge einen fehlenden Ort zu Google Maps hinzu.
Computer and smartphone-only users	Reine Computer- und Smartphone-Nutzer
